Reference;Qty;Value;Footprint;LCSC;Manufacturer_Part_Number
Baterï¿½ï¿½a1,Mo;2;XT30UPB-M;SamacSys_Parts:SHDR2W160P0X500_1X2_1020X520X1070P;;XT30UPB-M
C1,C14,C15;3;22uF;PCM_JLCPCB:C_0805;C45783;
C2,C9,C11;3;100nF;PCM_JLCPCB:C_0603;C14663;
C3;1;22uF;PCM_JLCPCB:C_0603;C59461;
C4,C6,C13;3;100nF;PCM_JLCPCB:C_0402;C1525;
C5,C7,C8;3;1uF;PCM_JLCPCB:C_0402;C52923;
C10;1;47uF;SamacSys_Parts:CAPAE660X820N;;RVT1H470M0607
C12;1;10uF;PCM_JLCPCB:C_0805;C15850;
D1,D2,D3,D4,D5,D6;6;ESD9B3.3ST5G;SamacSys_Parts:SODFL1006X40N;;ESD9B3.3ST5G
D7,D8;2;SS210-E3_52T;SamacSys_Parts:DIONM5436X244N;;SS210-E3/52T
D9;1;SMF3.3;SamacSys_Parts:SOD3718X108N;;SMF3.3
IC1;1;ESP32-S3-WROOM-1-N16;SamacSys_Parts:ESP32S3WROOM1N16;;ESP32-S3-WROOM-1-N16
IC2;1;USBLC6-2SC6;SamacSys_Parts:SOT95P280X145-6N;;USBLC6-2SC6
IC3;1;DRV8871DDAR;SamacSys_Parts:SOIC127P600X170-9N;;DRV8871DDAR
IC4;1;AP63203WU-7;SamacSys_Parts:AP63203WU7;;AP63203WU-7
L1;1;100mH;SamacSys_Parts:RLB1014104KL;;RLB1014-104KL
L2;1;NLV25T-3R9J-PF;SamacSys_Parts:INDM2520X190N;;NLV25T-3R9J-PF
Potenciï¿½ï¿½me;1;20k;SamacSys_Parts:3296W1503LF;;3296W-1-203LF
R1,R2,R4;3;10kï¿;PCM_JLCPCB:R_0603;C25804;
R3;1;1kï¿;PCM_JLCPCB:R_0805;C17513;
R5,R7;2;5.1kï¿;PCM_JLCPCB:R_0805;C27834;
R6;1;4.7kï¿;PCM_JLCPCB:R_0603;C23162;
R8,R9;2;33ï¿;PCM_JLCPCB:R_0603;C23140;
R10;1;0ï¿;PCM_JLCPCB:R_0402;C17168;
R11;1;10kï¿;PCM_JLCPCB:R_0805;C17414;
R12,R13;2;4.7kï¿;PCM_JLCPCB:R_1206;C17936;
R14;1;30kï¿;PCM_JLCPCB:R_0805;C17621;
Reset1;1;B3SL-1022P;SamacSys_Parts:B3SL1022P;;B3SL-1022P
Sensores_Boton1;1;WJ128V-5.0-6P;SamacSys_Parts:WJ128V506P;;WJ128V-5.0-6P
USB-C1;1;12401832E402A;SamacSys_Parts:12401832E402A;;12401832E402A
